,,,,,,,,,,,,,,MERGER OF BRANCHES STATUS UPDATE AS ON 12.05.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S No,Branch 1 (IB),IBGA,Branch 2 (eAB),IBGA,Merged New Branch,New IBGA,Acquirer Branch,Merged on,New IFSC Code,Merged on ,Address,Contact No,E-Mail,FGMO,Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,B009,K G Road,K504,Bengaluru City,B009,IB,23.09.2020,IDIB000B009,23.09.2020,"P B NO 9025, 10, KEMPEGOWDA ROAD, BANGALORE, GANDHI NAGAR BANGALORE, KARNATAKA- 560009",080-22958803,bangalorecity@indianbank.co.in,Bengaluru,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bannerghatta Road,B181,Benerghata Road,B625,Bannerghatta Road,B181,IB,10.10.2020,IDIB000B181,10.10.2020,"WINDSOR, F4, SY NO 75/1B, FIRST FLOOR, BANNERGHATTA ROAD, HULIMAVU VILLAGE,BANGALORE, KARNATAKA- 560076",080-22958877,bannerghattaroad@indianbank.co,Bengaluru,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bengaluru Cantonment,B008,Tasker Town,B609,Bengaluru Cantonment,B008,IB,03.10.2020,IDIB000B008,03.10.2020,"35,LADY CURZON ROAD, SHIVAJI NAGAR, BENGALURU, KARNATAKA - 560001",080-22958808,bangalorecantt@indianbank.co.in,Bengaluru,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Devanahalli,D059,Devanhalli,D583,Devanahalli,D059,IB,21.09.2020,IDIB000D059,21.09.2020,"1022/333/1, M R COMPLEX SHANTHI NAGAR, SULIBELE  ROAD, DEVANAHALLI, BANGALORE RURAL, KARNATAKA- 562110",080-27681342,devanahalli@indianbank.co.in,Bengaluru,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Hassan,H006,Hassan,H552,Hassan,H006,IB,10.10.2020,IDIB000H006,10.10.2020,"Church Road, HASSAN, KARNATAKA-573201",08172-268756,hassan@indianbank.co.in,Bengaluru,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mandya,M014,Mandya Gandhinagar,M601,Mandya,M014,IB,03.10.2020,IDIB000M014,03.10.2020,"P B No 12, 71/1120, M C ROAD, MANDYA HPO, MANDYA, KARNATAKA - 571401",08232-220070,mandya@indianbank.co.in,Bengaluru,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HSR Layout,C122,HSR Layout,H593,HSR Layout,C122,IB,22.01.2021,IDIB000C122,22.01.2021,"L-82A, 15th Cross, 5th Main, Sector-6, HSR Layout, BANGALORE, KARNATAKA - 560102",080-22958876,hsrlayout@indianbank.co.in,Bengaluru,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Malleswaram,M010,Malleswaram,M590,Malleswaram,M010,IB,24.01.2021,IDIB000M010,24.01.2021,"15,SARASWATHI COMPLEX    5TH CROSS      MALLESWARAM    BANGALORE, KARNATAKA - 560003",080-22958834,malleswaram@indianbank.co.in,Bengaluru,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
